Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Afghanistan;;;;0;;ITU estimate.;0;;Ministry of Communications.;0,09;;Ministry of Communications.;0,11;;Ministry of Communications.;1,22;;Ministry of Communications.;2,11;;Ministry of Communications.;1,9;;"ITU estimate.
ITU estimate.
ITU estimate.";1,84;;Ministry of Communications & Information Technology;3,55;;Ministry of Communications & Information Technology;4;;ITU estimate. ;5;;ITU estimate. ;5,45;;ITU estimate.;5,9;;ITU estimate.;7;;ITU estimate.;8,26;;ITU estimate.;11;;ITU estimate.;13,5;Asia Foundation, 18+.;ITU estimate.;16,8;Asia Foundation, 18+.;ITU estimate.;17,6;Asia Foundation, 18+.;ITU estimate.;18,4;;ITU estimate.
Internet users (%);Albania;0,11;;Albanian Telecom Enterprise.;0,33;;Albanian Telecom Enterprise.;0,39;;Albanian Telecom Enterprise.;0,97;;Ministry of Transport and Telecommunications.;2,42;;Ministry of Transport and Telecommunications.;6,04;;Ministry of Transport and Telecommunications.;9,61;;ITU estimate. ;15,04;;ITU estimate.;23,86;;Minister for Innovation and ICT;41,2;;Minister for Innovation and ICT;45;;Minister for Innovation and ICT;47;;ITU estimate.;49,4;;ITU estimate.;51,8;;ITU estimate.;54,3;;ITU estimate.;56,9;;ITU estimate.;59,6;;ITU Estimate.;62,4;;ITU estimate.;65,4;;ITU estimate.;68,55;;Institute of Statistics;72,24;The percentage of individuals aged 16 - 74 years old which have used the internet “in the last three months” from the moment of conducting the interview.;Institute of Statistics
Internet users (%);Algeria;0,49;;;0,65;;;1,59;;;2,2;;;4,63;;;5,84;;;7,38;;Autorité de Régulation de la Poste et des Télecommunications (ARPT).;9,45;;Autorité de Régulation de la Poste et des Télecommunications (ARPT).;10,18;;Autorité de Régulation de la Poste et des Télécommunications;11,23;;Autorité de Régulation de la Poste et des Télécommunications;12,5;;Autorité de Régulation de la Poste et des Télécommunications;14,9;;ITU estimate. ;18,2;;ITU estimate.;22,5;;ITU estimate.;29,5;;ITU estimate.;38,2;;ITU estimate.;42,95;;ITU Estimate.;47,69;;ITU estimate.;49,04;;Ministry of Post, Telecommunications, Technologies and Digital;57,9;;ITU estimate.;62,9;;ITU estimate.
Internet users (%);American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Andorra;10,54;;Servei de Telecomunicacions d'Andorra (STA).;;;;11,26;;Servei de Telecomunicacions d'Andorra (STA).;13,55;;Servei de Telecomunicacions d'Andorra (STA).;26,84;;Servei de Telecomunicacions d'Andorra (STA).;37,61;;Servei de Telecomunicacions d'Andorra (STA).;48,94;;Servei de Telecomunicacions d'Andorra (STA).;70,87;;Andorra Telecom;70,04;;Andorra Telecom;78,53;;Andorra Telecom;81;;Servei de Telecomunicacions d'Andorra;81;;Servei de Telecomunicacions d'Andorra;82,7;;ITU estimate.;84,4;;ITU estimate.;86,1;;ITU estimate.;87,9;;ITU estimate.;89,7;;ITU estimate.;91,57;;Servei d'studis - Ministeri de Finances;;;;;;;;;
Internet users (%);Angola;0,11;;;0,14;;;0,27;;;0,37;;;0,46;;;1,14;;;1,5;;;1,7;;ITU estimate.;1,9;;ITU estimate.;2,3;;ITU estimate.;2,8;;ITU estimate.;4,7;;ITU estimate.;7,7;;ITU estimate.;13;;ITU estimate.;21,4;2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months. ;Instituto Nacional de Estatística.;22;;ITU estimate.;23,2;Estimated based on DHS.;ITU estimate.;26;;ITU estimate.;29;;ITU estimate.;32,4;;ITU estimate.;36;;ITU estimate.
Internet users (%);Anguilla;22,41;;;25,88;;;24,8;;;24,52;;ITU estimate.;25,04;;ITU estimate.;29;;ITU estimate.;36;;ITU estimate.;41;;ITU estimate.;44;;ITU estimate.;48;;ITU estimate.;49,6;;ITU estimate.;53,64;;ITU estimate.;59,21;;ITU estimate.;64,8;;ITU estimate.;70,39;;ITU estimate.;75,98;;ITU estimate.;81,57;;ITU Estimate.;;;;;;;;;;;;
Internet users (%);Antigua and Barbuda;6,48;;Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.;8,9;;ITU estimate.;12,5;;Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.;17,23;;ITU estimate.;24,27;;Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.;27;;ITU estimate.;30;;ITU estimate.;34;;ITU estimate.;38;;ITU estimate.;42;;ITU estimate.;47;;ITU estimate.;52;Population age 5+. Census.;Statistics Division, Census.;58;;ITU estimate.;63,4;;ITU estimate.;67,78;;ITU estimate.;70;;ITU estimate.;73;;ITU Estimate.;;;;;;;;;;;;
Internet users (%);Argentina;7,04;;SECOM.;9,78;;SECOM.;10,88;;SECOM.;11,91;;SECOM.;16,04;;SECOM.;17,72;;SECOM.;20,93;;SECOM.;25,95;;SECOM.;28,11;;SECOM.;34;;Comisión Nacional de Comunicaciones;45;;ITU estimate.;51;Population aged 10+. Estimated based on survey results for urban population.;ITU estimate based on INDEC's survey.;55,8;;ITU estimate.;59,9;;ITU estimate.;64,7;;ITU estimate.;68,04;Population age 10+.;Instituto Nacional de Estadistica y Censos;70,97;;NATIONAL INSTITUTE OF STATISTICS AND CENSUS (INDEC);74,29;Population age 4+. Refers to population living in urban areas (92% of population live in urban areas).;NATIONAL INSTITUTE OF STATISTICS AND CENSUS (INDEC);77,7;Population age 4+. Refers to population living in urban areas (92% of population live in urban areas).;INDEC.;79,9;Population age 4+. Refers to population living in urban areas (92% of population live in urban areas).;INDEC.;85,5;Population age 4+. Refers to population living in urban areas (92% of population live in urban areas).;INDEC.
Internet users (%);Armenia;1,3;;;1,63;;;1,96;;;4,58;;;4,9;;;5,25;;;5,63;;;6,02;;ITU estimate.;6,21;;Ministry of Transport and Communications;15,3;;ITU estimate.;25;;ITU estimate.;32;;ITU estimate.;37,5;;ITU estimate.;41,9;All population.;National Statistical Service;54,62;All population;National Statistical Service;59,1;;National Statistical Service;64,35;;ITU;64,74;;The Statistical Committee of the Republic of Armenia ;68,25;;The Statistical Committee of the Republic of Armenia ;66,54;;The Statistical Committee of the Republic of Armenia ;76,51;;The Statistical Committee of the Republic of Armenia 
Internet users (%);Aruba;15,44;;Servicio di Telecomunicacion di Aruba (SETAR).;17,1;;ITU estimate.;18,8;;ITU estimate.;20,8;;ITU estimate.;23;;ITU estimate.;25,4;;ITU estimate.;28;;ITU estimate.;30,9;;ITU estimate.;52;;ITU estimate.;58;;ITU estimate.;62;;ITU estimate.;69;;ITU estimate.;74;;ITU estimate.;78,9;;ITU estimate.;83,78;;ITU estimate.;88,66;;ITU estimate.;93,54;;ITU Estimate.;97,17;;ITU estimate.;;;;;;;;;
Internet users (%);Ascension;34,94;;Cable & Wireless plc. (C&W).;38,17;Data refer to 31st December.;Cable & Wireless plc. (C&W).;;;;;;;;;;;;;;;;33;;Cable & Wireless;33;;Cable & Wireless;33;;Cable & Wireless;35;;Cable & Wireless South Atlantic Ltd;36;;Cable & Wireless South Atlantic Ltd;41,03;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Australia;46,76;;ABS Household Use of Information Technology Survey.;52,69;;ITU estimate.;;;;;;;;;;63;Population age 15+.;Australian Bureau of Statistics.;66;Population age 15+.;Australian Bureau of Statistics. ;69,45;Population age 15+.;Australian Bureau of Statistics.;71,67;Population age 15+.;Australian Bureau of Statistics.;74,25;Population age 15+.;Australian Bureau of Statistics.;76;;ITU estimate.;79,49;Individuals aged 15 years and over;Australian Bureau of Statistics;79;" 
Individuals aged 15 years and over";Australian Bureau of Statistics;83,45;Population age 15+.;Australian Bureau of Statistics;84;;ITU estimate.;84,56;Internet users are persons aged 15 years and over who accessed the internet for personal use in a typical week.;Australian Bureau of Statistics;86,54;;ITU Estimate.;86,55;Internet users are persons aged 15 years and over who accessed the internet for personal use in a typical week.;Australian Bureau of Statistics;87,6;;ITU estimate.;88,6;;ITU estimate.;89,6;;ITU estimate.
Internet users (%);Austria;33,73;Regular users of the Internet, Population age 14+.;Austria Internet Monitor.;39,19;Regular users of the Internet, Population age 14+.;Austria Internet Monitor.;36,56;Population age 16-74 using Internet in the last 3 months.;Eurostat.;42,7;Population age 16-74.;Eurostat.;54,28;Population age 16-74.;Eurostat.;58;Population age 16-74.;Eurostat.;63,6;Population age 16-74.;Eurostat.;69,37;Population age 16-74.;Eurostat.;72,87;Population age 16-74.;Eurostat.;73,45;Population age 16-74.;Eurostat.;75,17;Population age 16-74.;Eurostat.;78,74; Users in the last 3 months. Age 16-74.;Eurostat.;80,03; Users in the last 3 months.;Eurostat.;80,62;Population age 16-74.;Eurostat.;81;Population age 16-74.;Statistik Austria.;83,94;Individuals aged 16 to 74 years who used the Internet in the last 3 months;ITU;84,32;Individuals aged 16 to 74 years who used the Internet in the last 3 months;ITU;87,94;;Statistik Austria;87,48;;Statistik Austria;87,75;;Statistik Austria;87,53;;Statistik Austria
Internet users (%);Azerbaijan;0,15;;;0,31;;;5;;;;;;;;;8,03;;;11,99;;;14,54;;ITU estimate.;17,08;Population age 7+.;State Statistical Committee;27,4;Population age 7+.;State Statistical Committee;46;Population age 7+.;State Statistical Committee;50;Population age 7+.;ITU estimate.;54,2;;ITU estimate.;73;Population age 7+.;State Statistical Committee of Azerbaijan Republic;75;Population age 7+.;State Statistical Committee of the Republic of Azerbaijan;77;;State Statistical Committee of the Republic of Azerbaijan;78,2;;State Statistical Committee of the Republic of Azerbaijan;79;;State Statistical Committee of the Republic of Azerbaijan;79,8;;State Statistical Committee of the Republic of Azerbaijan;81,1;;State Statistical Committee of the Republic of Azerbaijan;84,6;;State Statistical Committee
Internet users (%);Bahamas;8;Estimated based on 3 times the number of subscribers.;ITU estimate.;11,8;Estimated based on 3 times the number of subscribers.;ITU estimate.;18;Estimated based on 3 times the number of subscribers.;ITU estimate.;20;;ITU estimate.;22;;ITU estimate.;25;;ITU estimate.;26;;ITU estimate.;27;;ITU estimate.;31,54;;BAHAMAS TELECOMMUNICATIONS COMPANY LTD.;33,88;;BAHAMAS TELECOMMUNICATIONS COMPANY LTD.;43;;ITU estimate.;65;;Bahamas Telecommunications Company Ltd.;71,75;;ITU estimate.;72;;ITU estimate.;76,92;;ITU estimate.;78;;ITU estimate.;80;;ITU Estimate.;80,6;;ITU estimate.;83;;ITU estimate.;85;;ITU estimate.;87;;ITU estimate.
Internet users (%);Bahrain;6,15;;;15,04;;;18,05;;;21,55;;;21,46;;;21,3;;;28,24;;;32,91;;Telecommunications Regulatory Authority (TRA);51,95;;Telecommunications Regulatory Authority (TRA);53;;Telecommunications Regulatory Authority (TRA);55;;Telecommunications Regulatory Authority (TRA);77;Estimated based on TRA 2011 Residential consumer survey;Telecommunications Regulatory Authority (TRA);88;Population age 15+. Estimated based on  2011 Residential consumer survey result and TRA analysis of the growth;Telecommunications Regulatory Authority (TRA);90;Population age 15+.;Telecommunications Regulatory Authority (TRA);90,5;Population age 15+.;Telecommunications Regulatory Authority (TRA);93,48;;Information and E-Government Authority;98;Estimated based on TRA 2016 Residential consumer survey;Information and E-Government Authority;95,88;Estimated based on TRA 2017 Residential consumer survey;Information and E-Government Authority;98,64;;Information and E-Government Authority;99,7;;Information and E-Government Authority;99,67;;Information and E-Government Authority
Internet users (%);Bangladesh;0,07;;ITU estimate.;0,13;;ITU estimate.;0,14;;ITU estimate.;0,16;;ITU estimate.;0,2;;ITU estimate.;0,24;;ITU estimate.;1;;ITU estimate.;1,8;;ITU estimate.;2,5;;ITU estimate.;3,1;;ITU estimate.;3,7;;ITU estimate.;4,5;;ITU estimate.;5;;ITU estimate.;6,63;Labour Force Survey 2013;Bangladesh Bureau of Statistics;11,9;;ITU estimate.;12,9;;ITU estimate.;18,1;;ITU estimate.;19,8;Population age 15+.;Findex.;21,8;;ITU estimate.;23,8;;ITU estimate.;24,8;;ITU estimate.
Internet users (%);Barbados;3,97;;Cable and Wireless (Barbados) Limited.;11,94;;ITU estimate.;27,84;;ITU estimate.;39,69;;Ministry of Energy and Public Utilities.;49,8;;National Council for Science and Technology (NCST).;52,5;;ITU estimate.;55,3;;ITU estimate.;58,2;;ITU estimate.;61,4;;ITU estimate.;64,7;;ITU estimate.;65,1;;ITU estimate.;66,5;;ITU estimate.;71,2;;ITU estimate.;71,8;;ITU estimate.;75,16;;ITU estimate.;76,11;;ITU estimate.;79,55;;ITU Estimate.;81,76;;ITU estimate.;;;;;;;;;
